ID 名字 股市 板块分类 成立日期 下市时间 全名 地址 主要业务 
002412 汉森制药 深市 中小板 2010-05-25 NAN 湖南汉森制药股份有限公司 湖南省益阳市银城南路 胃肠疾病、骨伤科疾病及心脑血管疾病中药制剂的研发、生产与销售。
002413 雷科防务 深市 中小板 2010-05-28 NAN 江苏雷科防务科技股份有限公司 江苏省常州市武进区延政中路5号常发大厦18楼 冰箱和空调用蒸发器及冷凝器、铝箔(板)的生产和销售。
002414 高德红外 深市 中小板 2010-07-16 NAN 武汉高德红外股份有限公司 湖北省武汉市东湖开发区黄龙山南路6号 红外热成像产品的研制、生产和销售。
002415 海康威视 深市 中小板 2010-05-28 NAN 杭州海康威视数字技术股份有限公司 浙江省杭州市滨江区阡陌路555号 安防视频监控产品研发、生产和销售
002416 爱施德 深市 中小板 2010-05-28 NAN 深圳市爱施德股份有限公司 广东省深圳市南山区沙河西路3151号新兴产业园(健兴科技大厦)C栋8楼801-806号 手机及数码电子产品的销售渠道综合服务。
002417 三元达 深市 中小板 2010-06-01 NAN 福建三元达通讯股份有限公司 福建省福州市铜盘路软件园基地C区28座 无线网络优化覆盖设备及软件的生产和销售。
002418 康盛股份 深市 中小板 2010-06-01 NAN 浙江康盛股份有限公司 浙江省杭州市淳安县千岛湖镇康盛路268号 制冷管路及其延伸产品的生产与销售。
002419 天虹股份 深市 中小板 2010-06-01 NAN 天虹商场股份有限公司 广东省深圳市南山区中心路3019号天虹大厦9-14楼 17-20楼
002420 毅昌股份 深市 中小板 2010-06-01 NAN 广州毅昌科技股份有限公司 广东省广州市高新技术产业开发区科学城科丰路29号 从事塑胶模具、注塑模具的研制
002421 达实智能 深市 中小板 2010-06-03 NAN 深圳达实智能股份有限公司 广东省深圳市南山区高新技术产业园达实智能大厦 主要从事建筑智能化及建筑节能服务
002422 科伦药业 深市 中小板 2010-06-03 NAN 四川科伦药业股份有限公司 四川省成都市青羊区百花西路36号 开发、生产和销售大输液产品
002423 中原特钢 深市 中小板 2010-06-03 NAN 中原特钢股份有限公司 河南省济源市承留镇小寨村 从事工业专用装备及大型特殊钢精锻件的研发、生产、销售和服务。
002424 贵州百灵 深市 中小板 2010-06-03 NAN 贵州百灵企业集团制药股份有限公司 贵州省安顺市经济技术开发区西航大道 以苗药为主的中成药的生产、销售。
002425 凯撒文化 深市 中小板 2010-06-08 NAN 凯撒(中国)文化股份有限公司 广东省汕头市龙湖珠津工业区珠津1街3号凯撒工业城 从事服装、服饰的设计、制造及销售
002426 胜利精密 深市 中小板 2010-06-08 NAN 苏州胜利精密制造科技股份有限公司 江苏省苏州市高新区浒关工业园浒泾路55号 精密结构模组的研发、设计、生产和后续改进等全流程服务
002427 尤夫股份 深市 中小板 2010-06-08 NAN 浙江尤夫高新纤维股份有限公司 浙江省湖州市和孚镇工业园区 涤纶工业长丝的研发、生产和销售
002428 云南锗业 深市 中小板 2010-06-08 NAN 云南临沧鑫圆锗业股份有限公司 云南省昆明市呈贡新区马金铺电力装备园魁星街 锗矿开采、火法富集、湿法提纯、区熔精炼、精深加工及研究开发
002429 兆驰股份 深市 中小板 2010-06-10 NAN 深圳市兆驰股份有限公司 广东省深圳市龙岗区南湾街道下李朗社区李朗路一号兆驰创新产业园 家庭视听消费类电子产品的研发、设计、制造、销售。
002430 杭氧股份 深市 中小板 2010-06-10 NAN 杭州杭氧股份有限公司 浙江省杭州市下城区中山北路592号弘元大厦 主要从事大中型成套空分设备、石化设备及低温相关设备的设计制造
002431 棕榈股份 深市 中小板 2010-06-10 NAN 棕榈生态城镇发展股份有限公司 广东省广州市天河区马场路16号富力盈盛广场B栋23-25楼 事园林景观设计和园林工程施工业务
002432 九安医疗 深市 中小板 2010-06-10 NAN 天津九安医疗电子股份有限公司 天津市南开区南开工业园雅安道金平路3号 家用医疗健康电子产品的研发、生产和销售。
002433 太安堂 深市 中小板 2010-06-18 NAN 广东太安堂药业股份有限公司 广东省汕头市金园工业区广东太安堂药业股份有限公司麒麟园 中成药的研发、生产和销售。
002434 万里扬 深市 中小板 2010-06-18 NAN 浙江万里扬股份有限公司 浙江省金华市宾虹西路3999号 轻卡变速器、中卡变速器、重卡变速器及客车变速器的研发、生产及销售。
002435 长江润发 深市 中小板 2010-06-18 NAN 长江润发机械股份有限公司 江苏省张家港市金港镇晨丰公路 目前
002436 兴森科技 深市 中小板 2010-06-18 NAN 深圳市兴森快捷电路科技股份有限公司 广东省深圳市南山区深南路科技园工业厂房25栋1段3层 于印刷电路样板和小批量板的生产和研发。
002437 誉衡药业 深市 中小板 2010-06-23 NAN 哈尔滨誉衡药业股份有限公司 北京市顺义区空港开发区B区裕华路融慧园28号楼 药品生产和药品代理销售。
002438 江苏神通 深市 中小板 2010-06-23 NAN 江苏神通阀门股份有限公司 江苏省启东市南阳镇 应用于冶金领域的高炉煤气全干法除尘系统、转炉煤气除尘与回收系统、焦炉烟气除尘系统、煤气管网系统的特种阀门以及应用于核电站的核级蝶阀、核级球阀、非核级蝶阀、非核级球阀等产品的研发、生产和销售。
002439 启明星辰 深市 中小板 2010-06-23 NAN 启明星辰信息技术集团股份有限公司 北京市海淀区东北旺西路8号中关村软件园21号楼启明星辰大厦 信息安全产品的研发、生产、销售与提供专业安全服务
002440 闰土股份 深市 中小板 2010-07-06 NAN 浙江闰土股份有限公司 浙江省绍兴市上虞区市民大道1009号财富广场1号楼闰土大厦 从事纺织染料、印染助剂和化工原料的研发、生产和销售。
002441 众业达 深市 中小板 2010-07-06 NAN 众业达电气股份有限公司 广东省汕头市衡山路62号 公司是工业电气产品的专业分销商
002442 龙星化工 深市 中小板 2010-07-06 NAN 龙星化工股份有限公司 河北省沙河市东环路龙星街1号 湿法造粒炭黑、电力。
002443 金洲管道 深市 中小板 2010-07-06 NAN 浙江金洲管道科技股份有限公司 浙江省湖州市二里桥路57号 从事石油天然气输送用螺旋焊管、镀锌钢管和钢塑复合管产品的研发、生产和销售
002444 巨星科技 深市 中小板 2010-07-13 NAN 杭州巨星科技股份有限公司 浙江省杭州市江干区九环路35号 手工具、手持式电动工具等工具五金产品的研发、生产和销售。
002445 中南文化 深市 中小板 2010-07-13 NAN 中南红文化集团股份有限公司 江苏省江阴市高新技术开发园金山路 工业金属管件和压力容器制造
002446 盛路通信 深市 中小板 2010-07-13 NAN 广东盛路通信科技股份有限公司 广东省佛山市三水区西南民营工业园进业二路4号 通信天线及射频产品的研发、生产和销售。
002447 壹桥股份 深市 中小板 2010-07-13 NAN 大连壹桥海参股份有限公司 辽宁省瓦房店市炮台镇鲍鱼岛村 海珍品苗种的繁育
002448 中原内配 深市 中小板 2010-07-16 NAN 中原内配集团股份有限公司 河南省孟州市产业集聚区淮河大道69号 内燃机气缸套的生产和销售
002449 国星光电 深市 中小板 2010-07-16 NAN 佛山市国星光电股份有限公司 广东省佛山市禅城区华宝南路18号 LED器件及其组件的研发、生产与销售
002450 康得新 深市 中小板 2010-07-16 NAN 康得新复合材料集团股份有限公司 江苏省张家港市环保新材料产业园晨港路北侧 港华路西侧
002451 摩恩电气 深市 中小板 2010-07-20 NAN 上海摩恩电气股份有限公司 上海市浦东新区锦康路258号陆家嘴世纪金融广场1号楼40层 特种电线电缆的研发、生产和销售业务。
002452 长高集团 深市 中小板 2010-07-20 NAN 湖南长高高压开关集团股份公司 湖南省长沙市望城经济技术开发区金星北路三段393号 高压隔离开关及接地开关的生产和销售。
002453 天马精化 深市 中小板 2010-07-20 NAN 苏州天马精细化学品股份有限公司 江苏省苏州市高新区浒青路122号 各类精细化工产品的研发、生产和销售
002454 松芝股份 深市 中小板 2010-07-20 NAN 上海加冷松芝汽车空调股份有限公司 上海市莘庄工业区华宁路4999号 生产销售各系列大中型客车空调和乘用车空调。
002455 百川股份 深市 中小板 2010-08-03 NAN 无锡百川化工股份有限公司 江苏省江阴市云亭街道建设路55号 醋酸丁酯、偏苯三酸酐的生产与销售。
002456 欧菲光 深市 中小板 2010-08-03 NAN 深圳欧菲光科技股份有限公司 广东省深圳市光明新区公明街道松白公路华发路段欧菲光科技园 精密光电薄膜元器件的研发、生产和销售、新型电子元器件、光电子元器件、新型显示器件及其关键件的研发、生产、销售和技术服务。
002457 青龙管业 深市 中小板 2010-08-03 NAN 宁夏青龙管业股份有限公司 宁夏回族自治区银川市兴庆区兴庆科技园兴春路235号 各类供水、排水管道的研发、制造和销售。
002458 益生股份 深市 中小板 2010-08-10 NAN 山东益生种畜禽股份有限公司 山东省烟台市福山区(空港路南)益生路1号 祖代种鸡的引进、饲养
002459 天业通联 深市 中小板 2010-08-10 NAN 秦皇岛天业通联重工股份有限公司 河北省秦皇岛市经济技术开发区天山北路3号 铁路桥梁施工起重运输设备和其他领域起重运输设备的研发、设计、制造和销售。
002460 赣锋锂业 深市 中小板 2010-08-10 NAN 江西赣锋锂业股份有限公司 江西省新余市经济开发区龙腾路 深加工锂产品的研究、开发、生产与销售。
002461 珠江啤酒 深市 中小板 2010-08-18 NAN 广州珠江啤酒股份有限公司 广东省广州市海珠区新港东路磨碟沙大街118号 啤酒的生产与销售。
002462 嘉事堂 深市 中小板 2010-08-18 NAN 嘉事堂药业股份有限公司 北京市海淀区昆明湖南路11号1号楼 以医药批发、零售为主营业务模式的医药商业经营。
002463 沪电股份 深市 中小板 2010-08-18 NAN 沪士电子股份有限公司 江苏省昆山市玉山镇东龙路1号 印制电路板的研发、生产和销售
002464 金利科技 深市 中小板 2010-08-31 NAN 昆山金利表面材料应用科技股份有限公司 江苏省昆山市开发区春旭路258号东安大厦1701室 电子零件制造和销售业务。
002465 海格通信 深市 中小板 2010-08-31 NAN 广州海格通信集团股份有限公司 广东省广州市高新技术产业开发区科学城海云路88号 军事通信设备和导航设备的研发、生产和销售。
002466 天齐锂业 深市 中小板 2010-08-31 NAN 天齐锂业股份有限公司 四川省遂宁市射洪县太和镇城北 主要从事锂系列产品的研发、生产和销售
002467 二六三 深市 中小板 2010-09-08 NAN 二六三网络通信股份有限公司 北京市朝阳区和平里东土城路14号建达大厦16-18层 增值通信业务、企业通信业务及其他业务。
002468 申通快递 深市 中小板 2010-09-08 NAN 申通快递股份有限公司 上海市青浦区重固镇北青公路6598弄25号 水暖器材、阀门、管件、建筑金属配件、智能家庭及环保节能控制系统
002469 三维工程 深市 中小板 2010-09-08 NAN 山东三维石化工程股份有限公司 山东省淄博市临淄区炼厂中路22号 发行人主要服务于石油化工、煤化工行业
002470 金正大 深市 中小板 2010-09-08 NAN 金正大生态工程集团股份有限公司 山东省临沂市临沭县兴大西街19号 复合肥、控释肥的研发、生产和销售。
002471 中超控股 深市 中小板 2010-09-10 NAN 江苏中超控股股份有限公司 江苏省宜兴市西郊工业园振丰东路999号 电线电缆的研发、生产、销售和服务。
002472 双环传动 深市 中小板 2010-09-10 NAN 浙江双环传动机械股份有限公司 浙江省杭州市西湖区古墩路702号赞宇大厦12楼 传动用齿轮及齿轮零件的生产与销售
002473 *ST圣莱 深市 中小板 2010-09-10 NAN 宁波圣莱达电器股份有限公司 浙江省宁波市江北区金山路298号 从事水加热生活电器核心零部件及整机的研发、生产和销售。
002474 榕基软件 深市 中小板 2010-09-15 NAN 福建榕基软件股份有限公司 福建省福州市鼓楼区铜盘路福州软件园产业基地 软件产品的开发与销售、计算机系统集成及技术支持与服务。
002475 立讯精密 深市 中小板 2010-09-15 NAN 立讯精密工业股份有限公司 广东省东莞市清溪镇青皇村青皇工业区葵青路17号 公司专注于连接器的研发、生产和销售
002476 宝莫股份 深市 中小板 2010-09-15 NAN 山东宝莫生物化工股份有限公司 山东省东营市东营区西四路892号 公司主要从事丙烯酰胺、聚丙烯酰胺及其衍生物的研究开发、生产销售和技术服务。
002477 雏鹰农牧 深市 中小板 2010-09-15 NAN 雏鹰农牧集团股份有限公司 河南省新郑市薛店镇世纪大道公司办公区 家畜、家禽养殖与销售。
002478 常宝股份 深市 中小板 2010-09-21 NAN 江苏常宝钢管股份有限公司 江苏省常州市延陵东路558号 石油天然气用管、锅炉管和机械管等专用钢管的研发、生产和销售
002479 富春环保 深市 中小板 2010-09-21 NAN 浙江富春江环保热电股份有限公司 浙江省杭州市富阳区灵桥镇春永路188号 电力、热蒸汽供应
002480 新筑股份 深市 中小板 2010-09-21 NAN 成都市新筑路桥机械股份有限公司 四川省成都市四川新津工业园区 桥梁支座、桥梁伸缩装置、预应力锚具等公路、铁路桥梁功能部件的研发、设计、生产、销售和服务。公司还从事路面施工和养护设备(包括摊铺机、挖掘机等)、混凝土机械等产品的研发、生产、销售和服务。
002481 双塔食品 深市 中小板 2010-09-21 NAN 烟台双塔食品股份有限公司 山东省招远市金岭镇寨里 粉丝的生产和销售
002482 广田集团 深市 中小板 2010-09-29 NAN 深圳广田集团股份有限公司 广东省深圳市罗湖区深南东路2098号广田集团大厦 建筑装饰的施工与设计。
002483 润邦股份 深市 中小板 2010-09-29 NAN 江苏润邦重工股份有限公司 江苏省南通市经济技术开发区振兴西路9号 起重装备、船舶配套装备、海洋工程装备、立体停车设备等产品的设计、制造、销售及服务。
002484 江海股份 深市 中小板 2010-09-29 NAN 南通江海电容器股份有限公司 江苏省南通市通州区平潮镇通扬南路79号 电容器及其材料、配件的研发、生产和销售。
002485 希努尔 深市 中小板 2010-10-15 NAN 希努尔男装股份有限公司 山东省诸城市东环路58号 自制生产为主、委托加工生产为辅
002486 嘉麟杰 深市 中小板 2010-10-15 NAN 上海嘉麟杰纺织品股份有限公司 上海市金山区亭林镇亭枫公路1918号 主要从事高端针织面料的生产和销售
002487 大金重工 深市 中小板 2010-10-15 NAN 辽宁大金重工股份有限公司 辽宁省阜新市新邱区新邱大街155号 风电塔架、火电锅炉钢结构生产和销售。
002488 金固股份 深市 中小板 2010-10-21 NAN 浙江金固股份有限公司 浙江省杭州市富阳区富春街道公园西路1181号 汽车钢制车轮的研发、制造、销售。
002489 浙江永强 深市 中小板 2010-10-21 NAN 浙江永强集团股份有限公司 浙江省临海市前江南路1号 研究开发、设计、生产、销售户外休闲家具及用品。
002490 *ST墨龙 深市 中小板 2010-10-21 NAN 山东墨龙石油机械股份有限公司 山东省寿光市文圣街999号 设计、制造及销售抽油机、抽油杆、抽油泵、油管、套管及相关石油钻采机械配件。
002491 通鼎互联 深市 中小板 2010-10-21 NAN 通鼎互联信息股份有限公司 江苏省苏州市吴江区震泽镇八都经济开发区小平大道8号 市内通信电缆、光缆和铁路信号电缆的生产和销售。
002492 恒基达鑫 深市 中小板 2010-11-02 NAN 珠海恒基达鑫国际化工仓储股份有限公司 广东省珠海市高栏港经济区南迳湾 液体石化产品的码头装卸及仓储业务。
002493 荣盛石化 深市 中小板 2010-11-02 NAN 荣盛石化股份有限公司 浙江省杭州市萧山区益农镇浙江荣盛控股集团大楼 PTA、聚酯纤维相关产品的生产和销售
002494 华斯股份 深市 中小板 2010-11-02 NAN 华斯控股股份有限公司 河北省沧州市肃宁县尚村镇 主要从事裘皮服装、裘皮饰品、裘皮面料、裘皮皮张的生产与销售。
002495 佳隆股份 深市 中小板 2010-11-02 NAN 广东佳隆食品股份有限公司 广东省普宁市池尾工业区上寮园256幢0138号 鸡粉、鸡精产品的研发、生产和销售
002496 辉丰股份 深市 中小板 2010-11-09 NAN 江苏辉丰农化股份有限公司 江苏省盐城市大丰区海洋经济开发区南区纬二路(王港闸南首) 化学农药产品的研发、生产及销售
002497 雅化集团 深市 中小板 2010-11-09 NAN 四川雅化实业集团股份有限公司 四川省成都市高新区天府四街66号航兴国际广场1号楼 民爆产品的生产、销售和爆破工程施工等
002498 汉缆股份 深市 中小板 2010-11-09 NAN 青岛汉缆股份有限公司 山东省青岛市崂山区九水东路628号 电线电缆及电缆附件的研发、生产、销售与安装服务。产品涉及电力电缆、电气装备电线电缆、通信电缆与光缆、裸电线及其他等五大门类
002499 科林环保 深市 中小板 2010-11-09 NAN 科林环保装备股份有限公司 江苏省苏州市吴江区高新路425号科林环保科技园 袋式除尘器的的研发、生产与销售。
002500 山西证券 深市 中小板 2010-11-15 NAN 山西证券股份有限公司 山西省太原市府西街69号山西国际贸易中心东塔楼 证券经纪、证券自营、资产管理、投资银行、财务顾问等证券相关业务。
002501 利源精制 深市 中小板 2010-11-17 NAN 吉林利源精制股份有限公司 吉林省辽源市龙山区西宁大路5729号 铝型材及深加工产品的研发、生产与销售业务。
002502 骅威文化 深市 中小板 2010-11-17 NAN 骅威文化股份有限公司 广东省汕头市澄海区澄华工业区玉亭路 网络游戏、影视剧、动漫及其相关衍生产品。
002503 搜于特 深市 中小板 2010-11-17 NAN 搜于特集团股份有限公司 广东省东莞市道?镇昌平第二工业区第一栋 “潮流前线”品牌青春休闲服饰的自主设计和销售。
002504 *ST弘高 深市 中小板 2010-11-18 NAN 北京弘高创意建筑设计股份有限公司 北京市朝阳区来广营西路朝来高科技产业园7号楼 从事半导体分立器件、集成电路的开发、设计、制造和销售
002505 大康农业 深市 中小板 2010-11-18 NAN 湖南大康国际农业食品股份有限公司 上海市虹口区东大名路948号白金湾广场18楼 农业生产资料经销、粮食贸易以及生物柴油的生产销售。
002506 协鑫集成 深市 中小板 2010-11-18 NAN 协鑫集成科技股份有限公司 江苏省苏州市工业园区新庆路28号(协鑫能源中心) 研发、生产及销售晶体硅太阳能电池
002507 涪陵榨菜 深市 中小板 2010-11-23 NAN 重庆市涪陵榨菜集团股份有限公司 重庆市涪陵区江北街道办事处二渡村一组 榨菜产品、榨菜酱油和其他佐餐开胃菜等方便食品的研制、生产和销售
002508 老板电器 深市 中小板 2010-11-23 NAN 杭州老板电器股份有限公司 浙江省杭州市余杭区余杭经济开发区临平大道592号 厨房电器产品的研发、生产和销售
002509 天广中茂 深市 中小板 2010-11-23 NAN 天广中茂股份有限公司 福建省南安市成功科技工业区 消防产品的设计、开发、生产与销售;园林工程;食用菌的研发、工厂化种植与销售。
002510 天汽模 深市 中小板 2010-11-25 NAN 天津汽车模具股份有限公司 天津市空港经济区航天路77号 汽车车身覆盖件模具、检具、夹具等汽车车身制造工艺装备研究、设计、制造及汽车车身冲压件制造。
002511 中顺洁柔 深市 中小板 2010-11-25 NAN 中顺洁柔纸业股份有限公司 广东省中山市西区彩虹大道136号 生产和销售中高档生活用纸。
002512 达华智能 深市 中小板 2010-12-03 NAN 中山达华智能科技股份有限公司 广东省中山市小榄镇泰丰工业区水怡南路9号 非接触IC卡、电子标签等各类RFID产品的研发、生产和销售。
002513 蓝丰生化 深市 中小板 2010-12-03 NAN 江苏蓝丰生物化工股份有限公司 江苏省新沂市经济开发区苏化路1号 杀菌剂原药及剂型、杀虫剂原药及剂型、除草剂原药及剂型、精细化工中间体的生产和销售.
002514 宝馨科技 深市 中小板 2010-12-03 NAN 苏州宝馨科技实业股份有限公司 江苏省苏州市高新区浒墅关经济开发区石阳路17号 运用数控钣金技术
002515 金字火腿 深市 中小板 2010-12-03 NAN 金字火腿股份有限公司 浙江省金华市工业园区金帆街1000号 从事金华火腿、火腿制品等发酵肉制品及各类低温肉制品的研发、生产及销售。
002516 旷达科技 深市 中小板 2010-12-07 NAN 旷达科技集团股份有限公司 江苏省常州市武进区雪堰镇旷达路1号 汽车及其他交通工具座椅面料以及其他内饰面料和车内饰面料用有色差别化涤纶丝的研发、生产和销售。
002517 恺英网络 深市 中小板 2010-12-07 NAN 恺英网络股份有限公司 上海市闵行区陈行路2388号浦江科技广场3号楼3楼 网络游戏的开发及运营与移动应用产品分发
002518 科士达 深市 中小板 2010-12-07 NAN 深圳科士达科技股份有限公司 广东省深圳市南山区高新北区科技中二路软件园1栋4楼401 402室
002519 银河电子 深市 中小板 2010-12-07 NAN 江苏银河电子股份有限公司 江苏省张家港市塘桥镇南环路188号 广播电视设备、计算机及部件、通信设备等电子产品的研发、生产、销售业务。
002520 日发精机 深市 中小板 2010-12-10 NAN 浙江日发精密机械股份有限公司 浙江省绍兴市新昌县七星街道日发数码科技园 数控机床的研发、制造和销售。
002521 齐峰新材 深市 中小板 2010-12-10 NAN 齐峰新材料股份有限公司 山东省淄博市临淄区朱台镇朱台路22号 主要从事高档装饰原纸研发、生产和销售业务
002522 浙江众成 深市 中小板 2010-12-10 NAN 浙江众成包装材料股份有限公司 浙江省嘉兴市嘉善县经济开发区泰山路1号 生产销售多层共挤热收缩薄膜、塑料制品;多层共挤热收缩薄膜生产线及配套设备的制造与销售。
002523 天桥起重 深市 中小板 2010-12-10 NAN 株洲天桥起重机股份有限公司 湖南省株洲市石峰区田心北门 从事各种起重设备的研发、制造、销售业务。
002524 光正集团 深市 中小板 2010-12-17 NAN 光正集团股份有限公司 新疆维吾尔自治区乌鲁木齐经济技术开发区融合北路266号 钢结构的设计、生产和销售、钢结构安装以及少量建筑材料的销售。
002525 胜景山河 深市 中小板  NAN 湖南胜景山河生物科技股份有限公司 湖南省岳阳市经济技术开发区通海路 新型黄酒的研发、生产与销售。
002526 山东矿机 深市 中小板 2010-12-17 NAN 山东矿机集团股份有限公司 山东省潍坊市昌乐县经济开发区大沂路北段矿机工业园 煤炭机械设备开发、生产、销售及服务。
002527 新时达 深市 中小板 2010-12-24 NAN 上海新时达电气股份有限公司 上海市嘉定区南翔镇新勤路289号 电梯控制系统与电梯变频器的研发、生产及销售
002528 英飞拓 深市 中小板 2010-12-24 NAN 深圳英飞拓科技股份有限公司 广东省深圳市龙华新区观澜高新技术产业园英飞拓厂房 视频监控系统等电子安防产品的研发、设计、生产和销售。
002529 海源机械 深市 中小板 2010-12-24 NAN 福建海源自动化机械股份有限公司 福建省福州市闽侯县荆溪镇铁岭北路2号 全自动液压设备以及配套设备的研发、设计、生产与销售。
002530 丰东股份 深市 中小板 2010-12-31 NAN 江苏丰东热技术股份有限公司 江苏省盐城市大丰区经济开发区南翔西路333号 一、热处理设备的研发、生产和销售
002531 天顺风能 深市 中小板 2010-12-31 NAN 天顺风能(苏州)股份有限公司 江苏省太仓市太仓港经济技术开发区洋江路28号 风塔及风塔零部件的生产和销售
002532 新界泵业 深市 中小板 2010-12-31 NAN 新界泵业集团股份有限公司 浙江省温岭市大溪镇大洋城工业区 泵及控制设备、风机、电机、发电机、空压机及零部件制造
002533 金杯电工 深市 中小板 2010-12-31 NAN 金杯电工股份有限公司 湖南省长沙市国家高新技术产业开发区东方红中路580号 电线电缆产品的研发、生产和销售。
002534 杭锅股份 深市 中小板 2011-01-10 NAN 杭州锅炉集团股份有限公司 浙江省杭州市江干区大农港路1216号 锅炉研发、设计、制造和销售。
002535 林州重机 深市 中小板 2011-01-11 NAN 林州重机集团股份有限公司 河南省林州市产业集聚区凤宝大道与陵阳大道交叉口 煤矿机械、防爆电器、机器人产品制造、销售、维修及租赁服务;煤炭销售;矿建工程服务和生铁及铁精粉业务。
002536 西泵股份 深市 中小板 2011-01-11 NAN 河南省西峡汽车水泵股份有限公司 河南省南阳市西峡县工业大道299号 汽车、摩托车零部件(不含发动机)及其机械产品的加工、制造、销售;
002537 海立美达 深市 中小板 2011-01-10 NAN 青岛海立美达股份有限公司 山东省即墨市青威路1626号 家用电器零部件、汽车零部件和微特电机、电机元件及电机零部件的开发、生产及配送;精密模具的开发、设计与制造。
002538 司尔特 深市 中小板 2011-01-18 NAN 安徽省司尔特肥业股份有限公司 安徽省宁国市经济技术开发区汪溪园区 高浓度磷复肥及专用肥生产与销售
002539 云图控股 深市 中小板 2011-01-18 NAN 成都云图控股股份有限公司 四川省成都市新都工业开发区南二路 复合肥业务、调味品业务、中小城市电商业务
002540 亚太科技 深市 中小板 2011-01-18 NAN 江苏亚太轻合金科技股份有限公司 江苏省无锡市新区坊兴路8号 精密铝管、专用型材和高精度棒材等汽车铝挤压材及其他工业铝挤压材的研发、生产和销售。
002541 鸿路钢构 深市 中小板 2011-01-18 NAN 安徽鸿路钢结构(集团)股份有限公司 安徽省合肥市双凤工业区 钢结构及围护产品的生产、销售。
002542 中化岩土 深市 中小板 2011-01-28 NAN 中化岩土集团股份有限公司 北京市大兴工业开发区科苑路13号 为国内石油石化建设项目、国家石油战略储备基地、港口、机场等大型建设项目提供强夯地基处理服务
002543 万和电气 深市 中小板 2011-01-28 NAN 广东万和新电气股份有限公司 广东省佛山市顺德高新区(容桂)建业中路13号 厨卫电器的研发、生产和销售。
002544 杰赛科技 深市 中小板 2011-01-28 NAN 广州杰赛科技股份有限公司 广东省广州市新港中路381号杰赛科技大楼 面向信息网络建设提供综合解决方案服务及相关信息网络产品。
002545 东方铁塔 深市 中小板 2011-02-11 NAN 青岛东方铁塔股份有限公司 山东省胶州市广州北路318号 钢结构(电厂钢结构、石化钢结构、民用建筑钢结构)和铁塔类产品(输电线路铁塔、广播电视塔、通信塔)研发、设计、生产、销售和安装的高新技术企业。
002546 新联电子 深市 中小板 2011-02-11 NAN 南京新联电子股份有限公司 江苏省南京市江宁开发区家园中路28号 用电信息采集系统的软、硬件研发、生产、销售及服务
002547 春兴精工 深市 中小板 2011-02-18 NAN 苏州春兴精工股份有限公司 江苏省苏州市工业园区唯亭镇金陵东路120号 从事通讯系统设备以及汽车用精密铸件及各类精密部件的制造、销售及服务;通讯系统设备、汽车用精密铸件的研究与开发等业务
002548 金新农 深市 中小板 2011-02-18 NAN 深圳市金新农科技股份有限公司 广东省深圳市宝安区公明镇将石塘下围 猪饲料的研发、生产和销售
002549 凯美特气 深市 中小板 2011-02-18 NAN 湖南凯美特气体股份有限公司 湖南省岳阳市岳阳楼区七里山(巴陵石化化肥事业部西门) 以食品添加剂液体二氧化碳的生产及销售为主
002550 千红制药 深市 中小板 2011-02-18 NAN 常州千红生化制药股份有限公司 江苏省常州市新北区长江中路90号 生物原料药及药品的生产和销售。
002551 尚荣医疗 深市 中小板 2011-02-25 NAN 深圳市尚荣医疗股份有限公司 广东省深圳市龙岗区宝龙工业城宝龙五路二号尚荣科技工业园 医疗设备及医疗系统工程、医疗设施的设计、生产、销售和安装。
002552 宝鼎科技 深市 中小板 2011-02-25 NAN 宝鼎科技股份有限公司 浙江省杭州市余杭区塘栖镇工业园区内 大型铸锻件的研发、生产和销售.
002553 南方轴承 深市 中小板 2011-02-25 NAN 江苏南方轴承股份有限公司 江苏省常州市武进高新技术产业开发区龙翔路9号 主要从事滚针轴承、超越离合器、单向滑轮总成等的研发、制造和销售
002554 惠博普 深市 中小板 2011-02-25 NAN 华油惠博普科技股份有限公司 北京市海淀区马甸东路17号11层1212 油气田开发地面系统装备的工艺技术研发、系统设计、成套装备提供及工程技术服务业务。
002555 三七互娱 深市 中小板 2011-03-02 NAN 芜湖顺荣三七互娱网络科技股份有限公司 安徽省芜湖市鸠江区瑞祥路88号皖江财富广场A1座11楼 汽车零部件制造行业。
002556 辉隆股份 深市 中小板 2011-03-02 NAN 安徽辉隆农资集团股份有限公司 安徽省合肥市蜀山区祁门路1777号 专业从事农资流通业务
002557 洽洽食品 深市 中小板 2011-03-02 NAN 洽洽食品股份有限公司 安徽省合肥市经济技术开发区莲花路1307号 本公司专业从事坚果炒货类食品的生产和销售。
002558 世纪游轮 深市 中小板 2011-03-02 NAN 重庆新世纪游轮股份有限公司 重庆市南岸区江南大道8号万达广场1栋5层 内河涉外豪华游轮运营业务和旅行社业务。
002559 亚威股份 深市 中小板 2011-03-03 NAN 江苏亚威机床股份有限公司 江苏省扬州市江都区黄海南路仙城工业园 金属成形机床及生产线制造、加工、销售。
002560 通达股份 深市 中小板 2011-03-03 NAN 河南通达电缆股份有限公司 河南省偃师市史家湾工业区 钢芯铝绞线的研发、生产和销售。
002561 徐家汇 深市 中小板 2011-03-03 NAN 上海徐家汇商城股份有限公司 上海市徐汇区肇嘉浜路1000号9楼 百货零售。
002562 兄弟科技 深市 中小板 2011-03-10 NAN 兄弟科技股份有限公司 浙江省海宁市海洲街道学林街1号 维生素和皮革化学品的研发、生产与销售等业务。
