ID 名字 股市 板块分类 成立日期 下市时间 全名 地址 主要业务 
000030 富奥股份 深市 主板 1993-09-29 NAN 富奥汽车零部件股份有限公司 吉林省长春市汽车经济技术开发区东风南街777号 汽车零部件及相关产品的研究、设计、制造;国内销售及售后服务;进出口业务;设备及工艺装备的设计、制造及相关服务;租赁业务、物业服务业务(需凭有效资质证书经营);仓储和配送业务及相关服务。
000031 中粮地产 深市 主板 1993-10-08 NAN 中粮地产(集团)股份有限公司 广东省深圳市福田区福华一路1号大中华国际交易广场35层 商品房开发与销售、物业租赁、来料加工业。
000032 深桑达A 深市 主板 1993-10-28 NAN 深圳市桑达实业股份有限公司 广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层 电子设备、电子元器件、电子消费通信产品的生产、销售及房地产开发。
000033 *ST新都 深市 主板 1994-01-03 NAN 深圳新都酒店股份有限公司 广东省深圳市春风路一号新都酒店28楼 酒店业务及其附属设施业务。
000034 神州数码 深市 主板 1994-05-09 NAN 神州数码集团股份有限公司 北京市海淀区上地九街九号数码科技广场神州数码集团股份有限公司证券部 消费电子分销业务和企业IT产品分销业务
000035 中国天楹 深市 主板 1994-04-08 NAN 中国天楹股份有限公司 江苏省南通市海安县城黄海大道(西)268号 自产产品出口和生产所需原辅材料、机械设备及零配件的进口业务;电子信息、医疗设备、高新材料、能源工程、生物工程、海洋工程等高新技术产品的开发;兴办实业(具体项目另报);各类经济信息咨询服务(不含限制项目);开发、生产、销售数字移动电话机。
000036 华联控股 深市 主板 1994-06-17 NAN 华联控股股份有限公司 广东省深圳市深南中路2008号华联大厦11层 房地产开发及自有物业租赁管理业务。
000037 深南电A 深市 主板 1994-07-01 NAN 深圳南山热电股份有限公司 广东省深圳市南山区华侨城汉唐大厦16 17楼
000038 深大通 深市 主板 1994-08-08 NAN 深圳大通实业股份有限公司 广东省深圳市福田区深南大道6023号耀华创建大厦904-905 房地产开发和经营。
000039 中集集团 深市 主板 1994-04-08 NAN 中国国际海运集装箱(集团)股份有限公司 广东省深圳市南山区蛇口港湾大道2号中集研发中心 制造修理集装箱及其有关业务。
000040 东旭蓝天 深市 主板 1994-08-08 NAN 东旭蓝天新能源股份有限公司 广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼 房地产
000042 中洲控股 深市 主板 1994-09-21 NAN 深圳市中洲投资控股股份有限公司 深圳市福田区百花五路长源楼 房地产开发与经营。
000043 中航地产 深市 主板 1994-09-28 NAN 中航地产股份有限公司 广东省深圳市福田区振华路163号飞亚达大厦六楼 第三产业
000045 深纺织A 深市 主板 1994-08-15 NAN 深圳市纺织(集团)股份有限公司 广东省深圳市福田区华强北路3号深纺大厦6楼 公司主要从事纺织服装、LCD用偏光片及其相关产品的生产与贸易和物业租赁管。
000046 泛海控股 深市 主板 1994-09-12 NAN 泛海控股股份有限公司 北京市东城区建国门内大街28号民生金融中心C座22层 房地产开发经营、项目投资。
000047 ST中侨 深市 主板 1994-10-21 2003-05-30 深圳市中侨发展股份有限公司 广东省深圳市华侨城东部工业区东北A区3栋首层 制造、加工机械设备、电子产品、新型材料、纺织品、服装、建筑材料；国内商业、物资供销业(不含专营、专控、专卖商品)；开发激光技术、生物工程技术、经济信息咨询。
000048 康达尔 深市 主板 1994-11-01 NAN 深圳市康达尔(集团)股份有限公司 广东省深圳市福田区深南大道和泰然大道交汇处绿景纪元大厦24楼 养殖肉鸡、鸡苗、禽蛋、肉猪、种猪;生产销售饲料;国内商业、物资供销业(不含专营、专控、专卖商品);房地产开发;交通运输;自来水供应;电力开发、电力工程引进等。
000049 德赛电池 深市 主板 1995-03-20 NAN 深圳市德赛电池科技股份有限公司 广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼 生产销售高科技电池类产品。
000050 深天马A 深市 主板 1995-03-15 NAN 天马微电子股份有限公司 广东省深圳市南山区马家龙工业城64栋7层 制造销售各类液晶显示器及与之相关的材料、设备和产品;普通货运;货物、技术进出口业务。
000055 方大集团 深市 主板 1996-04-15 NAN 方大集团股份有限公司 广东省深圳市高新技术产业园南区科技南十二路方大科技大厦 建筑幕墙系统及材料、轨道交通设备(地铁屏蔽门等)。
000056 皇庭国际 深市 主板 1996-07-08 NAN 深圳市皇庭国际企业股份有限公司 广东省深圳市福田区金田路2028号皇岗商务中心58楼 投资、经纪及金融
000058 深赛格 深市 主板 1996-12-26 NAN 深圳赛格股份有限公司 广东省深圳市福田区华强北路群星广场A座三十一楼 电子专业市场及其配套项目的开发及经营、物业租赁服务业务、贸易及渠道业务、电子商务、小额贷款增值业务以及酒店业务等
000059 华锦股份 深市 主板 1997-01-30 NAN 北方华锦化学工业股份有限公司 辽宁省盘锦市双台子区红旗大街 由聚烯烃产品、油品、液化产品、尿素和精细化工产品构成。
000060 中金岭南 深市 主板 1997-01-23 NAN 深圳市中金岭南有色金属股份有限公司 广东省深圳市福田区深南大道6013号中国有色大厦24-26楼 有色金属铅锌的采、选、冶、加工及电池锌粉等储能材料生产、铝型材加工、幕墙安装工程、出租汽车营运、房地产开发等。
000061 农产品 深市 主板 1997-01-10 NAN 深圳市农产品股份有限公司 广东省深圳市福田区深南大道7028号时代科技大厦13楼 开发、建设、经营、管理农产品批发市场
000062 深圳华强 深市 主板 1997-01-30 NAN 深圳华强实业股份有限公司 广东省深圳市福田区华强北路华强广场A座5楼 面向电子信息产业
000063 中兴通讯 深市 主板 1997-11-18 NAN 中兴通讯股份有限公司 广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦 投资兴办实业
000065 北方国际 深市 主板 1998-06-05 NAN 北方国际合作股份有限公司 北京市石景山区政达路6号院北方国际大厦19-22层 各类型工业、能源、交通、民用工程建设项目的施工总承包。
000066 中国长城 深市 主板 1997-06-26 NAN 中国长城科技集团股份有限公司 广东省深圳市南山区科技工业园长城计算机大厦 电子计算机硬件、软件系统及网络系统、电子产品、液晶电视、等离子电视、电话机的技术开发、生产销售及售后服务
000068 华控赛格 深市 主板 1997-06-11 NAN 深圳华控赛格股份有限公司 广东省深圳市大工业区兰竹东路23号 彩色显像管、显示管玻壳的设计、制造和销售。
000069 华侨城A 深市 主板 1997-09-10 NAN 深圳华侨城股份有限公司 广东省深圳市南山区华侨城集团办公大楼 旅游综合、房地产和纸包装业务。
000070 特发信息 深市 主板 2000-05-11 NAN 深圳市特发信息股份有限公司 广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼 经营光缆、光纤、通信设备、电子元器件
000078 海王生物 深市 主板 1998-12-18 NAN 深圳市海王生物工程股份有限公司 广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼 医药制造和医药商业流通。
000088 盐田港 深市 主板 1997-07-28 NAN 深圳市盐田港股份有限公司 广东省深圳市盐田区盐田港海港大厦十八层--十九层 集装箱码头装卸
000089 深圳机场 深市 主板 1998-04-20 NAN 深圳市机场股份有限公司 广东省深圳市宝安国际机场T3商务办公楼A座 航空客货地面运输及过港保障与服务。
000090 天健集团 深市 主板 1999-07-21 NAN 深圳市天健(集团)股份有限公司 广东省深圳市福田区滨河大道5020号证券大厦20 21
000096 广聚能源 深市 主板 2000-07-24 NAN 深圳市广聚能源股份有限公司 广东省深圳市南山区海德三道天利中央商务广场22楼 石油制品液化石油气经销及电力投资。
000099 中信海直 深市 主板 2000-07-31 NAN 中信海洋直升机股份有限公司 广东省深圳市南山区南海大道3533号深圳直升机场 为国内外用户提供海洋石油直升机飞行服务及其他通用航空业务
000100 TCL集团 深市 主板 2004-01-30 NAN TCL集团股份有限公司 广东省惠州市仲恺高新区惠风三路17号TCL科技大厦 产业架构为“4+6”
000150 宜华健康 深市 主板 2000-08-07 NAN 宜华健康医疗股份有限公司 广东省汕头市澄海区文冠路口右侧宜都花园 房地产开发与销售。
000151 中成股份 深市 主板 2000-09-06 NAN 中成进出口股份有限公司 北京市东城区安定门西滨河路9号 成套设备与技术进出口、一般贸易和境外实业投资和项目管理等业务。
